"B19"	"B20"	"B24"	"B25"	"B27"	"B28"	"X301_11"	"X301_12"	"X301_13"	"X301_15"	"X301_22"	"X310_3"	"X301_5"	"X301_6"	"X301_8"	"X301_9"	"B32"	"B36"	"B37"	"B4"	"B5"	"B7"	"B9"	"X301_23"	"B26"	"B31"
"AaculeatusATCC16872"	0.87719298245614	0	0	0	0	0	0	0	0	0	0	0	1.14942528735632	0.0338810774182619	0	1.93548387096774	0	0	0	0	0	0	0	0.0227842333105491	0	0.115673799884326
"Acandida2VRR"	0	0	0	0	0.0301674292322389	0	0	0	0	0	0	0	0	0	0.211193241816262	0	0	0	0	0	5.37634408602151	0	0	0	0	1.61943319838057
"AflavusNRRL3357"	0	0	0	0	0	0	0.6	0.227790432801822	0.192233756247597	0	0	0	0	0	0.739176346356917	0	0	0	0	0	0	0	11.0822060353798	0	0	0
"AfumigatusA1163"	1.75438596491228	0	0	0	0	1.28205128205128	1.4	0.455580865603645	0.269127258746636	0.30060120240481	0	0	0	0	0	0	27.5	0	0	0	0	0	0	0	0	0
"AfumigatusAf293"	0	0	0	0	0	0	0.4	1.13895216400911	0.192233756247597	0.30060120240481	0	0	0.14367816091954	0	0	0	5	0	0	0	0	0	0.260145681581686	0	0	0
"AglaucusCBS516.65"	0	0	0	0	0	0	0	0.911161731207289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AlaibachiiNc14"	0	0	0	0.516795865633075	0.00502790487203982	0	0.2	0	0.269127258746636	0.200400801603206	0.436681222707424	0	0.431034482758621	0.0169405387091309	0.105596620908131	0	0	0	0	0	0	0	0.0520291363163372	0.0911369332421964	0.292397660818713	0
"AnidulansFGSCA4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0468262226847	0	0	0
"AoryzaeRIB40"	0	0	0	0	0	0	0.4	0.227790432801822	0.0384467512495194	0	0.436681222707424	0	0	0	0.211193241816262	0	0	0	0	0	0	0	11.8106139438085	0	0	0
"AsydowiiCBS593.65"	0	0	0	0	0	1.28205128205128	1	2.50569476082005	0.307574009996155	0.701402805611222	0	0	0.28735632183908	0.0508216161273928	0.211193241816262	2.58064516129032	0	0	0	0	0	0	0	2.30120756436546	2.33918128654971	0.115673799884326
"AtubingensisCBS134.48"	0	0	0	0	0	0	0	0	0.538254517493272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AversicolorCBS583.65"	0	0	0	0	0	0	0.2	0	0	0.901803607214429	0	0	0	0.0169405387091309	0	0	0	0	0	0	0	0	0	0.0227842333105491	0	0
"BcinereaB05-10"	0	0	0	0	0	0	0	0	0	0.200400801603206	0	0	0	0.0677621548365238	0	0	0	0	0	0	0	0	0	0	0	0
"CalbicansSC5314"	61.4035087719298	57.7181208053691	80.6418072392609	6.54608096468562	0	8.33333333333333	1.2	0.455580865603645	63.8985005767013	1.30260521042084	49.3449781659389	4.54545454545455	5.02873563218391	0.406572929019143	2.00633579725449	1.29032258064516	0	0	1.19760479041916	0	2.1505376344086	5.88235294117647	0	8.22510822510823	10.233918128655	0
"CalbicansWO1"	16.6666666666667	11.4093959731544	19.2810697307719	1.11972437553833	0	1.92307692307692	0.4	0	1.88389081122645	0.601202404809619	25.764192139738	0	0.862068965517241	0.0847026935456548	1.47835269271383	0	0	0	0.29940119760479	0	1.0752688172043	2.94117647058824	0	0.934153565732513	4.3859649122807	0
"CglabrataCBS138"	0	0	0	0	0.0150837146161195	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104058272632674	64.6616541353383	0	0
"ClusitaniaeATCC42720"	0	0	0.00624477975442404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CneoformansH99"	0	0	0	0	0	17.3076923076923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CneoformansKN99"	0	0	0	0	0	14.7435897435897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CparapsilosisCDC317"	0	0	0.00156119493860601	0	0	0	0	0	0.0384467512495194	0	0.436681222707424	0	0	0	0.422386483632524	0	0	0	0	0	0	0	0	0	0	0
"CtropicalisMYA3404"	0	0.447427293064877	0.0123334400149875	79.5004306632214	2.09160842676857	0	0.4	0	0	0	0	0	0	0.0169405387091309	0.844772967265047	1.29032258064516	0	0	0	0	0	0	50.3642039542144	0.296195033037138	0	0
"FgraminearumPH-1"	0	0	0	0	0	0	0.2	0	0.115340253748558	1.50300601202405	0	0	0	0.0169405387091309	0	0	0	0	0	0	0	0	0	0	0	0
"FproliferatumET1"	0	0	0	0	0	0	0	0	0	0.30060120240481	0	0	0	0	0	0.645161290322581	0	0	0	0	0	0	0	0	0	0
"Fverticillioides7600"	0	0.223713646532438	0	0	0.0100558097440796	0	2.6	0.227790432801822	0.115340253748558	1.10220440881764	0.873362445414847	0	0.574712643678161	0	1.16156282998944	0	0	0	0	0	0	0	0	0.25062656641604	0	0
"HarabidopsidisEmoy2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169405387091309	0	0	0	0	0	0	0	0	0	0	0	0.347021399652979
"Mcircinelloides1006PhL"	0	0	0	0	0	0	0	0	0	0	0	0	0.431034482758621	0.0677621548365238	0	0	0	0	0	0	0	0	0	0	0	0
"MglobosaCBS7966"	0	2.46085011185682	0.00156119493860601	0.172265288544358	0.703906682085575	0	11	14.5785876993166	2.92195309496348	3.90781563126252	0.436681222707424	0	10.2011494252874	0.474335083855667	9.50369588173178	10.9677419354839	5	0	5.68862275449102	0	2.1505376344086	0	0.0520291363163372	1.2075643654591	7.01754385964912	5.08964719491035
"Mlarici-populina98AG31"	0	0	0.000468358481581803	0	0	0	0.2	0	0	0	0	0	0.14367816091954	0	0	0	0	0	0	0	0	0	0	0	0	0
"MrestrictaKCTC27527"	8.7719298245614	21.923937360179	0.034814647130914	9.99138673557278	97.1240384131932	22.4358974358974	64.6	50.3416856492027	21.2226066897347	62.625250501002	13.5371179039301	36.3636363636364	43.2471264367816	3.87938336439099	64.3083421330517	47.0967741935484	12.5	90.625	91.6167664670659	83.3333333333333	56.989247311828	14.7058823529412	14.20395421436	16.2451583504215	61.4035087719298	88.0277617119722
"NalbidaJCM2334"	0	1.56599552572707	0	0	0	0	0	5.92255125284738	0.0384467512495194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46198830409357	0
"NalbidaNRRLY1402"	0	0.223713646532438	0	0	0	0	0.6	5.69476082004556	0	0	0.873362445414847	0	0.14367816091954	0.0338810774182619	0.105596620908131	0	0	0	0	0	0	0	0	0	0	0
"PchrysosporiumRP-78"	0	0	0	0	0	0	0	0	0.153787004998078	0	0	0	0	0	0.105596620908131	0	0	0	0	0	0	0	0	0	0	0
"PinfestansT30-4"	6.14035087719298	2.23713646532438	0.0115528425456845	0.775193798449612	0.0100558097440796	21.1538461538462	4.6	12.5284738041002	5.11341791618608	13.4268537074148	5.67685589519651	40.9090909090909	21.9827586206897	1.40606471285787	7.91974656810982	18.0645161290323	32.5	9.375	1.19760479041916	16.6666666666667	19.3548387096774	47.0588235294118	3.90218522372529	3.8505354294828	6.72514619883041	3.18102949681897
"PjiroveciiSE8"	0	0	0	0	0	0	0	0	0	0	0	3.03030303030303	3.87931034482759	92.3089954260546	0.950369588173178	0	0	0	0	0	0	0	0	0	0	0
"Ppalmivorasbr112.9"	1.75438596491228	1.78970917225951	0.00686925772986644	0.516795865633075	0.00502790487203982	10.8974358974359	2.8	4.32801822323462	2.15301806997309	8.21643286573146	0.873362445414847	15.1515151515152	8.47701149425287	0.948670167711333	6.12460401267159	14.1935483870968	10	0	0	0	6.45161290322581	26.4705882352941	3.01768990634755	1.73160173160173	5.55555555555556	0.75187969924812
"PrubensWisconsin54-1255"	0	0	0.00156119493860601	0.344530577088717	0	0	2.8	0	0	0.200400801603206	0	0	0.718390804597701	0	1.26715945089757	0	0	0	0	0	0	0	0	0.0683526999316473	0.292397660818713	0
"RdelemarRA99-880"	0	0	0	0	0	0	1	0	0	0.100200400801603	0	0	0	0.0338810774182619	0	0	0	0	0	0	0	0	0	0.0227842333105491	0	0
"ScerevisiaeS288c"	0	0	0	0.516795865633075	0	0	0.2	0.227790432801822	0.384467512495194	0.200400801603206	0.436681222707424	0	1.00574712643678	0.0677621548365238	0.527983104540655	0	2.5	0	0	0	6.45161290322581	0	0	0.0455684666210982	0.292397660818713	0.289184499710816
"Smacrosporak-hell"	0	0	0	0	0.00502790487203982	0	0	0	0	0	0	0	0.28735632183908	0.0508216161273928	0	0	0	0	0	0	0	0	0	0	0	0.347021399652979
"Spombe972h"	2.63157894736842	0	0	0	0	0	0	0.227790432801822	0	0	0	0	0.718390804597701	0	0	0	0	0	0	0	0	0	0	0	0	0.115673799884326
"SreilianumSRZ2"	0	0	0	0	0	0	0	0	0	0.30060120240481	0	0	0	0	0	0	5	0	0	0	0	2.94117647058824	0	0	0	0
"Umaydis521"	0	0	0	0	0	0	1.6	0	0.0768935024990388	0	0	0	0	0	0	0.645161290322581	0	0	0	0	0	0	0	0	0	0
"YlipolyticaCLIB122"	0	0	0.000156119493860601	0	0	0.641025641025641	0.4	0	0	1.70340681362725	0.436681222707424	0	0	0	0.739176346356917	0	0	0	0	0	0	0	0	0	0	0
"YlipolyticaCLIB89W29"	0	0	0	0	0	0	0.4	0	0.0768935024990388	1.90380761523046	0.436681222707424	0	0.28735632183908	0	1.05596620908131	1.29032258064516	0	0	0	0	0	0	0.104058272632674	0.0227842333105491	0	0
