s10	s11	s1	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s2	s22	s23	s24	s25	s26	s27	s28	s29	s30	s3	s32	s34	s35	s36	s37	s38	s39	s40	s41	s4	s5	s6	s7	s9	ss11	ss1	ss12	ss13	ss14	ss15	ss16	ss18	ss19	ss21	ss2	ss23	ss24	ss25	ss26	ss27	ss28	ss29	ss30	ss3	ss4	ss5	ss7	ss8	ss9
Human betaherpesvirus 6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32273747582055	7.94100964265457	15.1502327549725	3.17607726597325	7.89362600253271	5.56962025316456	0.0241181711309445	0.00574790075168747	0.0513053475115412	0.272896698615548	0.518636270792075	1.91941624365482	8.62676056338028	0.27266530334015	13.946587537092	2.48934291553336e-05	0.000125905607078398	12.0166567519334	3.30116810563738	0.774393391843056	1.2646793134598	15.6274495831255	0.136405607319735	14.7310206133736	13.3606131462718
JC polyomavirus	0	0	0	0	0	0	0.00581569623803264	0	2.43341636328799	0	0	0	0	0	0.029912720013979	0	0.0404498017959712	0	0	0.15832653648707	0	0	0.0518684245159592	0	0	0.000888553213230557	0	0	0	0	2.41890118132383	0	0	0	0	7.1637892232683e-06	5.73266836163835e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meleagrid alphaherpesvirus 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414800409628335	11.0039705048213	17.7316969953449	3.99331352154532	9.70873786407767	6.49789029535865	0.028071969677001	0.0109440030312129	0.0706818331251233	0.406017039403621	0.641190732040887	2.23667512690355	14.4366197183099	0.340831629175187	20.3099241674909	4.56379534514449e-05	0.000139259232071561	12.5817965496728	4.00203148806501	0.774393391843056	2.4390243902439	17.0384094634077	0.241332997565685	21.4177978883861	14.5557287607171
Chelonid alphaherpesvirus 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.5150145335306	29.608621667612	2.27112427704895	2.86032689450223	2.8422681862952	41.7721518987342	0.0328165279322688	0.00390857251114748	0.0336722474930115	2.40282215122471	15.8450485333428	85.3743654822335	36.5316901408451	2.35173824130879	1.74744477415101	4.14890485922226e-05	0.000104921339231998	16.2998215348007	10.9192483494159	16.0299432111513	1.2646793134598	1.13304354022661	31.8244774615966	9.55253896430367	5.91712133021564
Human alphaherpesvirus 1	0	0	0	0	0	0	0.00618710363018114	0	0	0.000161463215539937	0	0	0	0	0	0	0.0768546234123453	0	0	0	0	0	0	0.37652825163208	91.7825189263593	0.00888553213230557	0	0	0	0	0	0	0	0	0	0	0	0	5.32103069109265	0	0	0	43.1405656395103	0	0	0	0	5.29153354632588	0	0	0	3.43103840036355	0.0659413122321134	0	0	0	0.406297613001524	0	36.3143631436314	0	0	0	0.0844375162379839
Rhinovirus A	0	0	0.000122062355798584	0	0	2.86056748767385e-06	0.0231087867651422	0	22.5841476655809	0	7.5	0	0	0	0.087665001229087	0	0.101124504489928	4.75230197852223e-05	17.2093023255814	0.734059396440052	0	1.72724303753513e-05	0.000774155589790436	0	0	0.0133282981984584	0	0	0	0.756620428751576	25.0890680667542	0.124285359184688	12.6546681664792	0	0	0.0010065123858692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Equid alphaherpesvirus 1	0	0	0	0	0.0935453695042095	0.000143028374383693	0	0	0	0	0	0	0	0.000765525429861667	0.00503481425977865	2.37377461939152e-05	0	0	0	1.46332101904716	1.78508925446272	1.55451873378162e-05	0	0	0	0	0	0	0.0869084301177214	0	0	0	0	0	0	0	0	0	0.0693058041024898	0	0	0	0	5.82278481012658	0.000922552994079846	0.00193129465256699	0.00109584237403292	0	0	0	0	0.0170415814587594	0.131882624464227	4.14890485922226e-06	0	0	0	0.0516262261228704	0	0	0.00629564341475699	0	0
Cowpox virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0282127239384963	0.0185735512630015	0.0140706345856198	0	0	4.59832060134997e-05	0	0	0.000888075806150813	0.0475888324873096	0	0.00568052715291979	0	2.07445242961113e-06	0	0.0594883997620464	0.0203148806500762	0	0	0.0142521200028504	0.00629564341475699	0.0502765208647562	0.00649519355676799
Human betaherpesvirus 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6069200226886	0	0	0	0	0	0	0	0	0	0.50761421319797	0	0	0	0	0	0	0	0	0	0	0	0	1.93556767991686
Bat SARS coronavirus	0.0433181586858327	0.0489836966652073	0.0428927118276226	0.0721500721500721	0	0.0408832305338347	0.0528757304383124	0.047913769170959	0.0127738391773648	0.0513453025417001	0	0.0367973996504247	0	0.0379700613211387	0.0450171627933149	0.053223418073357	0.0121349405387914	0.0604712148682421	0.697674418604651	0.0815621551600058	0.0350017500875044	0.0508638529693346	0.0162572673855992	0.18225752198417	0	0.0346535753159917	0.0418904933221625	0.00702222534321126	0.0158015327486766	0	0	0.0497141436738752	0.0281214848143982	0.0541561924914857	0.0596443109340647	0.0353138989761011	0.0404516188491741	0.078742890740604	0.047583089383799	0	0	0.0928677563150074	0	0	0.0744632059507304	0.0658939342173451	0.0889126653476709	0.0133120340788072	0.0310826532152785	0	0	0.0454442172233583	0	0.0462416191084617	0.105226564946128	0	0.0507872016251904	0.0258131130614352	0.0903342366757001	0	0.0377738604885419	0	0
Human gammaherpesvirus 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254645560908465	0	0	0	0	0.189155107187894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0609446419502285	0	0	0	0	0	0
Monkeypox virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103441498660433	0	0.0141063619692481	0	0	0.0843881856540084	0	0.000137949618040499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00712606000142521	0	0	0
Severe acute respiratory syndrome coronavirus 2	99.9566818413142	99.9510163033348	99.9569852258166	99.9278499278499	99.9064546304958	99.9589708805243	99.9120126829283	99.952086230829	74.9696621319538	99.9484932342428	92.5	99.9632026003496	100	99.961264413249	99.8323703017038	99.9467528441805	99.769436129763	99.939481262112	82.093023255814	97.5627308928657	98.1799089954498	99.9491033294129	99.9311001525087	99.4412142263837	7.96283551273228	99.94224404114	99.9581095066778	99.9929777746568	99.8972900371336	99.0542244640605	72.492030751922	99.8260004971414	87.3172103487064	99.9458438075085	99.9403556890659	99.9636724248488	99.9595426484825	99.9212571092594	47.9823735686283	0.907543959160522	0	77.4145616641902	0.126635711270578	9.28270042194093	99.7397082623846	99.8768569742958	99.5167833240685	90.3753993610224	80.6070886210847	1.1738578680203	2.55281690140845	92.3426493978641	0.0659413122321134	99.9534783298135	99.8938463119472	8.29863176680547	66.6124936515998	79.3236964377904	51.219512195122	0	67.0129270544783	0.0502765208647562	2.1304234866199
Human betaherpesvirus 6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32612001282675	39.931934203063	64.8046268867259	12.444279346211	36.2740959617279	30.9704641350211	0.0998993099303604	0.0345333877161383	0.237548740080136	1.23801916932907	2.35606511371811	8.74048223350254	37.8521126760563	1.19291070211316	63.7322782723376	0.000161807289509668	0.000557036928286246	50.7436049970256	14.6267140680549	3.02013422818792	7.40740740740741	66.1797192332359	0.734491731721649	54.1980894922071	62.009612886464
